account,name,activeStake,softwareClient
HEL1USMZKAL2odpNBj2oCjffnFGaYwmbGmyewGv1e2TU,"Helius",14429272671158710,JitoLabs
JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,"Jupiter",13316714155799252,Harmonic
Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,"Figment",13122002098310156,Rakurai
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,"binance staking",11044863354241852,AgaveBam
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,"Ledger by Figment",8602494079123119,JitoLabs
5pPRHniefFjkiaArbGX3Y8NUysJmQ9tMZg3FrFGwHzSm,"Kiln1",7686969092291465,JitoLabs
JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,"Forward Industries",7582086640822913,Frankendancer Rev
EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,"Everstake",7188230500276442,Frankendancer Rev
DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,"Galaxy",6846930824388765,Frankendancer Rev
Awes4Tr6TX8JDzEhCZY2QVNimT6iD1zWHzf1vNyGvpLM,"Staking Facilities | MEV 🔥",6734159431690004,Frankendancer Vanilla
CAo1dCGYrB6NhHh5xb1cGjUiu86iyCfMTENxgHumSve4,"Kraken 2",6055013748791208,HarmonicAgave
E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,"Bitwise Onchain Solutions",5901068785872056,JitoLabs
9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,"",5699016978039680,Frankendancer Vanilla
5Cchr1XGEg7dbBXByV5NY2ad8jfxAM7HA3x8D56rq9Ux,"Upbit Staking",4672984722651800,Agave
9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,"",4505540980617012,JitoLabs
EkvdKhULbMFqjKBKotAzGi3kwMvMpYNDKJXXQQmi6C1f,"",3943858213894888,HarmonicAgave
J6etcxDdYjPHrtyvDXrbCkx3q9W1UjMj1vy1jBFPJEbK,"",3891132301751516,HarmonicAgave
BkoS26vBuaXnSowACdChi4WKid8UwmuPNhEJWa8KsLHd,"",3887812130865316,JitoLabs
FBKFWadXZJahGtFitAsBvbqh5968gLY7dMBBJUoUjeNi,"",3813201760794064,HarmonicAgave
BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,"",3787112671512453,HarmonicAgave
5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,"",3742829006815225,HarmonicAgave
A1vqhA2fS6K7CvHsJKX1ACcHJFEmyRg4KuR5pctHANy4,"",3657866931046612,HarmonicAgave
DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,"P2P.org",3622104471720248,JitoLabs
5EhGYUyQNrxgUbuYF4vbL2SZDT6RMfhq3yjeyevvULeC,"",3598006063660020,AgaveBam
Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,"",3550296585726144,Harmonic
shftkxnsXmqAkmLgz9Mn7bNB5Fr6mKgFc58kFHfVikj,"blueshift",3292150136753822,JitoLabs
9UM8wQ8F5oMiRcP5YdqD6Lr4krpBWCD8LtgQYoisJd9i,"",3269389964936798,JitoLabs
GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9,"Twinstake",2969461927689947,Harmonic
6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK,"",2916667655378480,JitoLabs
FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,"Coinbase 04",2893550119432876,HarmonicAgave
9W3QTgBhkU4Bwg6cwnDJo6eGZ9BtZafSdu1Lo9JmWws7,"Coinbase 03",2821208847057224,Harmonic
krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,"Kraken",2678010241548365,AgaveBam
DrifTrN923QaouP89UxkQzFGbumKPCnfkNYQRwmZxatz,"Drift",2589269532630713,AgaveBam
CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,"Coinbase 02",2507890726805179,HarmonicAgave
GSTampk6BJRKSDkzhaMM49R7qRx98MTPYYWvKbp83XKc,"",2502415688586068,JitoLabs
5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z,"",2502415680489477,JitoLabs
GQzMeEMwAR44ugoNCifTb5NdRKos1GduDUPeNh6AgV46,"",2502395552696824,JitoLabs
BSVckjdW2f8kcXPGcrPPtV9kUDBZ8w8PjrrGVnxgEdwq,"",2502391138720913,JitoLabs
76rcGHdPvgs8G1XrzCXUTWtwgT59AFDvpB4VbTS2TBBJ,"",2502383454498740,JitoLabs
3SkE34PVeGck2ArEffFKjihrQgURsvnoTAhitsNXNzXd,"",2500000940382560,JitoLabs
HpcB5Qg8Y9E73dUkot5e8HkgAJbExsYeUzniY4bCuKac,"",2500000937382560,JitoLabs
DUND26mEDfFeaPsVof3YvbXDRvpuQX7HMUJrLgEWzYw4,"",2499999992171680,JitoLabs
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,"",2499999939665440,JitoLabs
Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,"",2499999939665440,JitoLabs
CoG8d9Fp2TFJRkAmrPMiPsGhQWHzdTTVoegEp9svRgmJ,"Nansen | Stake to Stack Points",2487839589811545,AgaveBam
6WgdYhhGE53WrZ7ywJA15hBVkw7CRbQ8yDBBTwmBtAHN,"Luganodes",2476086095419848,AgaveBam
FbYX2uN573G5WsgiPdHU6fS5PNUyjdXfGfpZNkYUuT4k,"",2409417938382560,JitoLabs
DNVZMSqeRH18Xa4MCTrb1MndNf3Npg4MEwqswo23eWkf,"Firedancer Development",2403321584448674,Firedancer
7cVfgArCheMR6Cs4t6vz5rfnqd56vZq4ndaBrY5xkxXy,"Blockdaemon 🧱👿 Validator",2382189919730144,Rakurai
22rU5yUmdVThrkoPieVNphqEyAtMQKmZxjwcD8v4bJDU,"",2322628996123620,JitoLabs
7qGNnXKW1e3DsqEaSxwxMdBTFsrK73XtWTmkGitRyMQc,"Alchemy",2250735931640573,AgaveBam
HnfPZDrbJFooiP9vvgWrjx3baXVNAZCgisT58gyMCgML,"",2182665921629860,JitoLabs
AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,"",2083334280438320,JitoLabs
FBbqKvwLfKGZrKrfSbPJz4ymQ7zMarhRyZtu1RBkSe89,"",2026939623013699,Firedancer
AWcCdYG7Dy6GX45c6QMPbgGwgRZPKcBDT4bXGb3QrVRV,"",2013800997122051,AgaveBam
2m1A2WM1vte7RWz5xTTw4i1SiXmngVtXhqFERaUjoAAb,"",2005488249610397,HarmonicAgave
Fc6NNdS2j3EmrWbU6Uqt6wsKB5ef72NjaWfNxKYbULGD,"OKX Earn",1982236448122398,AgaveBam
BUv44cVtsdvU9z2BfFGk6s5JZZWrmVnq5qCaii5ARyyB,"",1937437661920325,AgaveBam
FzQqaDStQQHs52YKeCnDovwSqvyZBCgs2kJcmvoFZwaS,"",1881605316350045,AgaveBam
7QQGNm3ptwinipDCyaCF7jY5katgmFUu1ieP2f7nwLpE,"",1875000953466200,Agave
3JotfSFPaod4KVK7nj7ULvcq5PjUBdZNVGracNkJNhrt,"",1837000183558720,AgaveBam
HbidP4hpQdwhkzrxder3x3VNPt6DQnE25gFG46napD2p,"",1835664800728540,AgaveBam
ana2y2YvQ3ZPMwm6qhnN3nJoUSiT3qx5Pvetkq9xcfY,"Anagram Staking",1784935576987904,Rakurai
EXckihF3qmguH5znjhfzLvHsbk2E3nEW2DqNh4MMnDMm,"",1779251796858585,Harmonic
C1ocKDYMCm2ooWptMMnpd5VEB2Nx4UMJgRuYofysyzcA,"Overclock",1622735960334306,AgaveBam
7y5VhV4fkz6r4zUmH2UiwPjLwXzPL1PcV28or5NWkWRL,"Haus – Guaranteed Best APY & No Fees",1601136681733272,AgaveBam
CG4tRANBKrzUmpv93V5sgftjQznBdiJsc2yPCzZWWuS9,"Bybit Staking",1538827385406742,JitoLabs
14GtGcdikcK33tFBhedZ4rYTHcTpWveCxLXvR3Ydx9zS,"",1504303475664178,AgaveBam
6aDs9tUm2gErcPn2c1TZnp5cu2bQV9BzyuwW4baWQYd4,"Coinbase 05",1500195226821795,AgaveBam
