PROJECT,POSITION_BUCKET,FILL_COUNT,VOLUME_USD,AVG_FILL_USD
alphaq,0.05,73669,31476555.1100299,427.27002009
alphaq,0,101810,45432130.962539,446.244288012
alphaq,0.25,33791,17419887.0723567,515.518542581
alphaq,0.85,169654,86420529.4959222,509.392820069
alphaq,0.7,138538,69082322.1397139,498.65251512
alphaq,0.3,33907,16944362.8349747,499.730522753
alphaq,0.5,86835,48077909.4320861,553.669711891
alphaq,0.55,106703,57303249.6519548,537.035037927
alphaq,0.75,144844,73915709.5233964,510.312539859
alphaq,0.6,123807,63509842.5310043,512.97456954
alphaq,0.45,63736,34513912.2038324,541.513621875
alphaq,0.95,222981,118271099.813145,530.408868079
alphaq,0.15,44867,20858999.6713461,464.907385636
alphaq,0.35,37792,19758789.4189888,522.82994864
alphaq,0.9,190267,101250365.020626,532.148848832
alphaq,0.1,58529,26176075.355582,447.232574546
alphaq,0.2,36863,17518088.8493887,475.221464596
alphaq,0.8,156521,79886445.4780636,510.388034053
alphaq,0.65,137921,68772312.8087992,498.6355436
alphaq,0.4,47761,24921201.2455228,521.789770849
aquifer,0.85,3,310.217602853,103.405867618
aquifer,0.45,2,130.008614363,65.004307181
aquifer,0.95,8,1311.790284236,163.973785529
aquifer,0.75,3,242.775894035,80.925298012
aquifer,0.9,4,480.856867046,120.214216761
aquifer,0.7,4,255.498051173,63.874512793
aquifer,0.8,3,330.024015438,110.008005146
aquifer,0.65,1,106.449709508,106.449709508
bisonfi,0.5,5215,1265592.86425608,242.683195447
bisonfi,0.15,3219,880003.110181124,273.377791296
bisonfi,0.65,8856,1910230.71646197,215.699042058
bisonfi,0.55,6740,1317670.32160229,195.500047715
bisonfi,0.6,7818,1784833.29253474,228.297939695
bisonfi,0.25,2234,498184.095186053,223.000937863
bisonfi,0.85,8965,1794649.91739303,200.184039865
bisonfi,0.2,2543,591803.59222277,232.718675668
bisonfi,0.9,10185,2586814.35277658,253.982754323
bisonfi,0.35,2189,409738.755592451,187.18079287
bisonfi,0.95,11765,2635060.68310556,223.9745587
bisonfi,0.75,8003,1607834.62508187,200.903989139
bisonfi,0.1,4257,983766.168789362,231.093767627
bisonfi,0,7404,1492533.68802121,201.58477688
bisonfi,0.3,2075,460433.734114821,221.895775477
bisonfi,0.05,5362,1234727.08368624,230.273607551
bisonfi,0.8,7913,1868041.82620764,236.072516897
bisonfi,0.4,2663,896180.782342144,336.530522847
bisonfi,0.45,3744,916006.030911767,244.659730479
bisonfi,0.7,8233,2005823.82776655,243.632190911
humidifi,0.95,258955,277928985.136904,1073.271360417
humidifi,0.35,40887,26770845.5750238,654.752013477
humidifi,0.2,43457,26884082.1926177,618.636403632
humidifi,0.75,180968,155295729.470147,858.139170849
humidifi,0.25,38851,26269311.2500047,676.155343492
humidifi,0.1,70164,43231284.2855658,616.146232905
humidifi,0.15,53916,32544276.9660104,603.610745716
humidifi,0.5,94615,64138694.5212134,677.891396937
humidifi,0.6,139790,95310391.9548311,681.811230809
humidifi,0.45,68768,46139531.6440351,670.944794731
humidifi,0.8,187397,164696939.894195,878.866470083
humidifi,0.3,37256,25320928.1169917,679.646986176
humidifi,0.65,164034,119095125.309457,726.039268136
humidifi,0.05,88685,46676086.9531834,526.313209147
humidifi,0,118068,52075998.7595076,441.067848693
humidifi,0.85,195326,174838977.075121,895.113692366
humidifi,0.55,117676,79839356.8635308,678.467630303
humidifi,0.9,218736,216770468.646917,991.014138719
humidifi,0.4,50402,34308956.9339147,680.706260345
humidifi,0.7,173998,138085618.181328,793.604628682
solfi,0.9,156633,67019262.8400831,427.87447626
solfi,0.15,39064,18568829.1943027,475.343774173
