PROJECT,TOKEN_PAIRS,FILL_COUNT,VOLUME_USD
alphaq,"[""USDC-usd1""]",252712,178267322.918343
alphaq,"[""usd1-USDC""]",227610,178249176.059027
alphaq,"[""USDT-USDC""]",385368,138317305.780179
alphaq,"[""USDC-USDT""]",360225,138229194.442389
alphaq,"[""USDC-USDG""]",69591,14947524.3692265
alphaq,"[""USDG-USDC""]",72201,14942352.7857698
alphaq,"[""USDT-usd1""]",48367,9572781.786155
alphaq,"[""usd1-USDT""]",51689,9562417.21284571
alphaq,"[""JitoSOL-SOL""]",93309,6629706.66019395
alphaq,"[""SOL-JitoSOL""]",76218,6618085.78842496
alphaq,"[""jupusd-USDC""]",31484,5889063.67515619
alphaq,"[""USDC-jupusd""]",30572,5887597.00398796
alphaq,"[""cash-USDC""]",44244,4029448.65397734
alphaq,"[""USDC-cash""]",40828,4021502.02175747
alphaq,"[""USDC-PYUSD""]",7050,2559140.1669653
alphaq,"[""PYUSD-USDC""]",7792,2549212.63953578
alphaq,"[""JupSOL-SOL""]",12379,2427001.03151423
alphaq,"[""SOL-JupSOL""]",7020,2417005.61183761
alphaq,"[""USDS-USDC""]",14394,1934678.21617925
alphaq,"[""USDC-USDS""]",14127,1922352.73782212
alphaq,"[""SOL-mSOL""]",48275,1638719.31648832
alphaq,"[""mSOL-SOL""]",40163,1637691.81906242
alphaq,"[""syrupUSDC-USDC""]",5841,1340017.50837488
alphaq,"[""USDC-syrupUSDC""]",4037,1322702.43967982
alphaq,"[""USDC-OPENAI""]",1873,1232727.29739578
alphaq,"[""OPENAI-USDC""]",1971,1232547.40106064
alphaq,"[""xaut0-USDT""]",1416,116098.61818677
alphaq,"[""USDT-xaut0""]",471,109759.589722739
aquifer,"[""MON-LIT""]",73,
aquifer,"[""LIT-HYPE""]",462,
aquifer,"[""LIT-MON""]",335,
aquifer,"[""HYPE-LIT""]",115,
aquifer,"[""HYPE-MON""]",142,
aquifer,"[""MON-HYPE""]",126,
aquifer,"[""usd1-USDC""]",26208,55862811.0039385
aquifer,"[""USDC-usd1""]",32489,53965588.7665374
aquifer,"[""USDC-USDT""]",41761,41984087.5054635
aquifer,"[""USDT-USDC""]",39332,41259064.5773697
aquifer,"[""USDC-cbBTC""]",15587,12268868.4373633
aquifer,"[""cbBTC-USDC""]",13613,11854763.6241392
aquifer,"[""USDC-ETH""]",3592,4519102.28179048
aquifer,"[""ETH-USDC""]",6318,4503857.43462966
aquifer,"[""USDC-HYPE""]",29736,3787227.76049093
aquifer,"[""USDC-SOL""]",5345,3714243.76647894
aquifer,"[""HYPE-USDC""]",30639,3677975.05930593
aquifer,"[""SOL-USDC""]",5321,3196004.38890211
aquifer,"[""USDT-usd1""]",8695,3168861.309147
aquifer,"[""usd1-USDT""]",5892,2362671.27214102
aquifer,"[""USDC-cash""]",1961,1577795.87602433
aquifer,"[""cash-USDC""]",1354,1266157.20550699
aquifer,"[""USDC-pippin""]",9086,1157183.32309504
aquifer,"[""pippin-USDC""]",11030,1098792.39301549
aquifer,"[""USDC-zec""]",824,1029149.18519191
aquifer,"[""cbBTC-USDT""]",1832,991024.488136139
aquifer,"[""SOL-USDT""]",1776,951029.170661321
aquifer,"[""USDG-USDC""]",578,815886.364506426
aquifer,"[""zec-USDC""]",894,795624.052258566
aquifer,"[""cbBTC-usd1""]",1139,791403.078193759
aquifer,"[""USDC-USDG""]",1464,785286.944905353
aquifer,"[""USDT-SOL""]",1912,718414.757557058
aquifer,"[""USDT-cbBTC""]",1346,691730.541318886
aquifer,"[""SOL-usd1""]",1048,658827.995725516
aquifer,"[""usd1-cbBTC""]",524,533507.864272607
aquifer,"[""USDC-PYUSD""]",445,532386.805247204
aquifer,"[""PYUSD-USDC""]",89,491899.941319972
aquifer,"[""HYPE-usd1""]",1522,469902.100910798
aquifer,"[""USDT-ETH""]",862,425139.752107446
aquifer,"[""PUMP-USDC""]",4603,405049.177107444
aquifer,"[""HYPE-USDT""]",3951,401652.439419552
aquifer,"[""usd1-SOL""]",784,372996.438284406
aquifer,"[""usd1-HYPE""]",1547,369532.576487693
aquifer,"[""USDT-HYPE""]",4776,335932.039758531
aquifer,"[""USDC-PUMP""]",3798,328534.468872125
aquifer,"[""ETH-USDT""]",1172,275569.031644741
aquifer,"[""ETH-usd1""]",659,260073.824610124
aquifer,"[""pippin-USDT""]",2640,251036.461541223
aquifer,"[""TRUMP-USDC""]",2233,250881.133460674
aquifer,"[""USDT-pippin""]",2165,245856.229464485
aquifer,"[""USDC-TRUMP""]",3658,243667.072838876
aquifer,"[""zec-USDT""]",424,232025.514706187
aquifer,"[""USDC-skr""]",76012,227000.332763
aquifer,"[""skr-USDC""]",74777,218226.533494847
aquifer,"[""USDC-LIT""]",19920,204291.410678847
aquifer,"[""LIT-USDC""]",18541,183082.329574249
aquifer,"[""Fartcoin-USDC""]",256,160766.724080503
aquifer,"[""USDC-Fartcoin""]",96,154580.53605727
aquifer,"[""usd1-cash""]",832,151776.911026747
aquifer,"[""JUP-USDC""]",531,145405.409786652
aquifer,"[""pippin-usd1""]",994,139254.334022982
aquifer,"[""USDC-JUP""]",559,133213.742038065
aquifer,"[""cash-usd1""]",424,130597.593438767
aquifer,"[""cash-cbBTC""]",82,129698.388171886
aquifer,"[""USDT-zec""]",609,129338.192897126
aquifer,"[""usd1-ETH""]",324,112238.121565526
aquifer,"[""usd1-pippin""]",551,102716.68276171
aquifer,"[""cash-SOL""]",525,100431.497291047
aquifer,"[""SOL-cbBTC""]",189,96774.999399715
aquifer,"[""USDG-usd1""]",40,95975.755166058
aquifer,"[""USDC-inx""]",20947,93516.046500972
aquifer,"[""USDT-cash""]",1594,91826.682844092
aquifer,"[""cbBTC-cash""]",58,86432.475550593
aquifer,"[""cash-USDT""]",854,85859.002922099
aquifer,"[""inx-USDC""]",20339,83529.155479285
aquifer,"[""USDT-USDG""]",374,74590.413018419
aquifer,"[""USELESS-USDC""]",25,74256.237716686
aquifer,"[""USDC-PENGU""]",935,68182.499062674
aquifer,"[""USDT-PUMP""]",1247,56671.975227978
aquifer,"[""zec-usd1""]",49,51613.366704674
aquifer,"[""PENGU-USDC""]",1177,50194.038111113
aquifer,"[""cash-HYPE""]",83,46271.020427448
aquifer,"[""SOL-cash""]",303,45914.682406796
aquifer,"[""cbBTC-SOL""]",1495,44960.149305791
aquifer,"[""usd1-USDG""]",137,44731.269257691
aquifer,"[""USDC-MON""]",8238,44515.712115879
aquifer,"[""met-USDC""]",10673,43210.989059873
aquifer,"[""USDT-LIT""]",4572,42229.228606114
aquifer,"[""USDC-met""]",10235,39604.477801271
aquifer,"[""skr-USDT""]",15998,38097.3731101
aquifer,"[""MON-USDC""]",6709,36476.617992518
aquifer,"[""PENGU-USDT""]",645,35228.373477246
aquifer,"[""USDT-skr""]",18474,34118.440366435
aquifer,"[""Fartcoin-usd1""]",301,33780.157049641
aquifer,"[""LIT-usd1""]",1518,32131.98967068
aquifer,"[""HYPE-cash""]",105,30467.050785861
aquifer,"[""pippin-SOL""]",1782,30103.736353793
aquifer,"[""SOL-HYPE""]",471,29079.415592303
aquifer,"[""zec-cash""]",18,28806.177910795
aquifer,"[""LIT-USDT""]",3650,28413.177215402
aquifer,"[""JUP-USDT""]",766,23066.741235651
aquifer,"[""USDG-USDT""]",60,22839.052217239
aquifer,"[""USDT-USELESS""]",75,20059.901166709
aquifer,"[""inx-USDT""]",4559,19847.440025097
aquifer,"[""PYUSD-USDG""]",10,19831.004201201
aquifer,"[""SOL-USDG""]",155,18789.239538556
aquifer,"[""PYUSD-usd1""]",8,18241.271461993
aquifer,"[""USDT-inx""]",4271,18215.822994667
aquifer,"[""USDT-Fartcoin""]",869,17866.436452441
aquifer,"[""HYPE-JUP""]",7,17846.232149532
aquifer,"[""SOL-ETH""]",90,16387.966141612
aquifer,"[""zec-PUMP""]",7,15959.325578001
aquifer,"[""SOL-PUMP""]",615,15606.833326228
aquifer,"[""skr-usd1""]",6538,14864.083438333
aquifer,"[""usd1-zec""]",72,14765.318711568
aquifer,"[""MON-usd1""]",693,14490.174330093
aquifer,"[""usd1-LIT""]",1385,14040.272894837
aquifer,"[""USDC-USELESS""]",97,13909.850824089
aquifer,"[""zec-HYPE""]",8,13398.038361059
aquifer,"[""cash-PUMP""]",26,11641.364211687
aquifer,"[""pippin-cash""]",154,11623.585379146
aquifer,"[""USDG-JUP""]",6,11622.066042038
aquifer,"[""SOL-pippin""]",777,11424.855991818
aquifer,"[""usd1-skr""]",6312,11034.646866227
aquifer,"[""HYPE-SOL""]",304,10746.87632721
aquifer,"[""Fartcoin-USDT""]",1164,10709.63463919
aquifer,"[""cbBTC-HYPE""]",225,10331.229063347
aquifer,"[""ETH-SOL""]",108,10189.630485666
aquifer,"[""USDT-MON""]",2109,10166.815449681
aquifer,"[""USDT-met""]",2805,9567.270901341
aquifer,"[""cash-ETH""]",71,9467.079130608
aquifer,"[""TRUMP-SOL""]",826,9024.350913952
aquifer,"[""ETH-cbBTC""]",31,8958.564632744
aquifer,"[""cash-pippin""]",91,8785.012264477
aquifer,"[""MON-USDT""]",2295,8672.123420369
aquifer,"[""TRUMP-USDT""]",2055,8503.02350326
aquifer,"[""inx-usd1""]",2078,8479.609755333
aquifer,"[""cbBTC-USDG""]",31,8198.389715744
aquifer,"[""met-USDT""]",2255,8197.351437525
aquifer,"[""JUP-usd1""]",142,7882.589872052
aquifer,"[""USDG-SOL""]",111,7861.755133537
