FRONTEND,DEX,RELAYER,TOTAL_VOLUME,TOTAL_TIP
Arb Bot (5bsFr),jupiter,,2144044.86067205,
Unknown Frontend,stabble,,137823.909860286,
Arb Bot (mine9),zerofi,,292528.045303247,
Arb Bot (sattC),byreal,,32495.829309846,
Unknown Frontend,pancakeswap,,1593831.25788751,
OnChain Labs Frontend,goonfi,,1098413.69893168,
Arb Bot (NA247),raydium,,152404.4414532,
Axiom Frontend,orca,,32300.198721608,
Arb Bot (5bsFr),zerofi,,5371504.84858204,
Phoenix Frontend,phoenix,,3762224.93698185,
Arb Bot (King7),byreal,,23646.248320726,
Arb Bot (Pp5Nu),pumpswap,,4610.950875914,
Jupiter Agg,pumpfun,,16448884.73105,
Arb Bot (5bsFr),saros,,190.279365735,
Arb Bot (2Vxcb),humidifi,,44119115.8199279,
Arb Bot (9Zzf9),phoenix,,103142.700401337,
Arb Bot (King7),raydium,,1898950.98407756,
Jupiter Agg,obric,,17994851.6004403,
Arb Bot (GReEN),pancakeswap,,6850902.54546045,
Binance Wallet,alphaq,,2737893.35322937,
Arb Bot (3sr1A),raydium,,56281.027080032,
Arb Bot (5bsFr),meteora,,2586655.20405218,
Bitget DEX,stabble,,750.551846255,
Terminal Trading Bot,pumpswap,,5659.782586479,
Maestro Trading Bot,pumpfun,,41.652246788,
Squads Wallet,pancakeswap,,10.024550974,
OKX DEX,obric,,26043713.3595778,
Swissborg Frontend,orca,,13394855.1754527,
Arb Bot (MEMS5),pancakeswap,,677159.421833133,
Arb Bot (GMGNr),raydium,,646517.584976095,
Arb Bot (8aqua),zerofi,,744853.893282652,
Arb Bot (5bsFr),manifest,,5114418.16008703,
Arb Bot (9GCBb),saros,,1629.274088386,
Binance Wallet,zerofi,,581481.632353887,
Arb Bot (5bsFr),saber,,75755.642189005,
Squads Wallet,orca,,1626760.23351892,
Arb Bot (MEMS5),whalestreet,,98284.852117548,
Photon Frontend,meteora,,93693.168211916,
Titan Exchange,phoenix,,129753.397319797,
Binance Wallet,pancakeswap,,720397.164387533,
Arb Bot (9i7Qd),byreal,,700355.692959478,
Jupiter Agg,byreal,,11261797.9496792,
Unknown Frontend,jupiter,,1200386.45553465,
Arb Bot (BLzDY),bisonfi,,1370946.87122021,
Swissborg Frontend,solfi,,49751.588737749,
Arb Bot (Pp5Nu),manifest,,7216939.64164278,
Arb Bot (BPP53),pumpswap,,218507179.483284,
Arb Bot (BxM),byreal,,19713.124107904,
Wasabi Frontend,invariant,,1501.999150072,
Arb Bot (7XdeQ),jupiter,,260868.279197752,
Arb Bot (88aaa),orca,,621464.478147191,
Jupiter Agg,solfi,,947583802.594426,
Arb Bot (Rexhf),meteora,,8072101.26101416,
Arb Bot (Stend),pancakeswap,,55449.030901307,
Arb Bot (9GCBb),byreal,,17961.435436883,
Arb Bot (9GCBb),meteora,,113728.689896978,
Bitget DEX,saber,,916.198702752,
Arb Bot (8aqua),jupiter,,1895732.3364612,
Arb Bot (SSSnR,goonfi,,130.520607757,
Squads Wallet,manifest,,9.999265,
Arb Bot (MEVi),manifest,,1.13715202,
Ave.ai Trading Bot,orca,,159966.32489318,
Binance Wallet,goonfi,,3560748.93038846,
OKX DEX,orca,,32275417.5717096,
Titan Exchange,humidifi,,11271939.2966136,
Arb Bot (8aqua),byreal,,60318.728239784,
Wasabi Frontend,raydium,,9142601.36442217,
Arb Bot (BxM),humidifi,,303457.533268397,
Arb Bot (BzKg),zerofi,,9032606.18961261,
Arb Bot (Duvq),byreal,,76474.040687625,
Unknown Frontend,zerofi,,2084952.84731615,
Arb Bot (3Y186),pancakeswap,,726003.428154919,
OKX DEX,scorch,,1847735.33370272,
Arb Bot (3URuD),pancakeswap,,1140324.26997282,
Unknown Frontend,tesserav,,2149668.02490177,
Binance Wallet,aquifer,,1585748.76058417,
Arb Bot (MEMS5),obric,,6858907.10831235,
Bloom Trading Bot,orca,,793.761061255,
Arb Bot (3sr1A),pumpswap,,133011.011060738,
Arb Bot (GMGNr),meteora,,518510.775069211,
Jupiter Agg,pancakeswap,,186716074.281471,
Arb Bot (GReEN),raydium,,13034795.2461904,
Wasabi Frontend,bisonfi,,264363.025127083,
Arb Bot (Duvq),humidifi,,4636635.94729939,
Arb Bot (BLzDY),humidifi,,2385042.80693914,
Binance Wallet,bisonfi,,1581323.68071132,
Arb Bot (Pp5Nu),meteora,,1907540.6788595,
Bitget DEX,aquifer,,360.856895224,
Titan Exchange,aquifer,,4343208.04927173,
Arb Bot (BzKg),bisonfi,,43414458.9817051,
Arb Bot (9i7Qd),bisonfi,,15748794.0708462,
Arb Bot (SSSnR,zerofi,,368660.525232524,
Arb Bot (mine9),saros,,300.844089488,
Arb Bot (Pp5Nu),pancakeswap,,546470.429594658,
Arb Bot (9i7Qd),stabble,,3464544.72922679,
Arb Bot (MEMS5),orca,,4064432.92359593,
Arb Bot (MEMS5),humidifi,,4642838.04847111,
Arb Bot (2Vxcb),pumpswap,,371266.24690975,
Binance Wallet,pumpfun,,1081677.50745529,
Bitget DEX,pumpswap,,724111.688562041,
Wasabi Frontend,meteora,,130477.311800376,
Binance Wallet,scorch,,38571.922509739,
Arb Bot (SSSnR,tesserav,,133.359582324,
Arb Bot (knc2o),pumpfun,,5021327.35448236,
Arb Bot (9i7Qd),saber,,10943.686676022,
Liquid Mesh Frontend,pumpswap,,44133.750292133,
Arb Bot (BzKg),stabble,,1539319.49493409,
Unknown Frontend,goonfi,,2775184.76038032,
Arb Bot (SSSnR,raydium,,141860.218881464,
Arb Bot (5bsFr),humidifi,,3672863.78164782,
DFlow Frontend,aquifer,,10783901.7388021,
Arb Bot (9i7Qd),meteora,,14533159.6238516,
DFlow Frontend,orca,,38176210.2935663,
Pump.fun Frontend,pumpfun,,169741302.981455,
Arb Bot (A8g42),orca,,26777.478435115,
Arb Bot (5bsFr),byreal,,43474.399033069,
OnChain Labs Frontend,scorch,,6934.743053585,
Arb Bot (Duvq),raydium,,2514766.15460316,
Arb Bot (HpN),pancakeswap,,3577349.53814532,
Arb Bot (sattC),pumpswap,,1138212.56366468,
Swissborg Frontend,raydium,,2786195.00111799,
Liquid Mesh Frontend,orca,,162526.623691921,
Jupiter Agg,manifest,,273424123.679442,
Arb Bot (3Y186),orca,,1512406.37597454,
Arb Bot (Duvq),zerofi,,3861851.35105102,
Arb Bot (5bsFr),raydium,,2150341.32486098,
Swissborg Frontend,meteora,,393710.355346824,
Arb Bot (Duvq),saros,,432.04008698,
Binance Wallet,saber,,1246.950636165,
Arb Bot (Pp5Nu),saros,,116.474801213,
Arb Bot (A8g42),phoenix,,1605.832883284,
Arb Bot (88aaa),humidifi,,34.707074393,
Titan Exchange,meteora,,38897428.9387562,
Squads Wallet,meteora,,0.8667055,
Photon Frontend,orca,,50.58629573,
Arb Bot (88aaa),pumpswap,,7393.15531043,
Arb Bot (BLzDY),stabble,,27222.728134719,
Arb Bot (BzKg),jupiter,,1776204.31222811,
Arb Bot (BLzDY),meteora,,65460.163928314,
Arb Bot (SSSnR,orca,,988110.796142523,
Arb Bot (SSSnR,meteora,,741382.747640328,
Jupiter Agg,stabble,,32801249.101499,
Arb Bot (8aqua),bisonfi,,1514555.03049769,
Unknown Frontend,solfi,,3420585.77993238,
Bonk Bot,pumpfun,,3048112.69853594,
Titan Exchange,raydium,,38230073.6128619,
Arb Bot (9Zzf9),pumpswap,,24450.874130887,
Titan Exchange,bisonfi,,9506776.39938605,
Bitget DEX,manifest,,341544.874509467,
Liquid Mesh Frontend,raydium,,1068553.27103664,
Arb Bot (King7),tesserav,,1825292.741007,
Binance Wallet,mercurial,,358.217696052,
Swissborg Frontend,bisonfi,,1802.034165003,
Arb Bot (7XdeQ),raydium,,1069860.97930585,
Titan Exchange,pancakeswap,,1821517.51227226,
Arb Bot (5bsFr),solfi,,4206972.78187143,
Unknown Frontend,manifest,,2039339.1675172,
Binance Wallet,saros,,888.793090934,
Arb Bot (NA247),pancakeswap,,2714.759863567,
Binance Wallet,manifest,,2402900.61053425,
OKX DEX,whalestreet,,501027.879563824,
