FRONTEND,AGGREGATOR,VOLUME_USD,MAX_TRADE_SIZE
Pump.fun Frontend,other agg,42397182184.5526,536675.379925829
Jupiter Agg,jupiter-aggregator-v6,12362859736.3183,3078567.91351206
Raydium Frontend,other agg,3570306150.59151,89806.231
Orca Frontend,other agg,1994418695.61702,1033414.29573536
Meteora Frontend,other agg,1908509933.66391,500104.2
DFlow Frontend,dflow-v4,617262062.830077,2068372.50726929
Titan Exchange,other agg,575110979.688232,3022835.03866227
OKX DEX,okx-aggregator-v6,469242418.359719,1465345.695
Raydium Frontend,raydium-router,331250496.465881,2256680.46581738
Arb Bot (2Vxcb),other agg,230903494.218178,20335.471973871
Arb Bot (MEMS5),other agg,222154280.843622,120880.448722275
Axiom Frontend,other agg,185178515.862742,74864.19006
Arb Bot (BzKg),other agg,155367356.95173,131141.613003589
Arb Bot (Duvq),other agg,144781715.554125,124667.136
Arb Bot (8A2a),other agg,141369835.726318,199980.926
Arb Bot (BPP53),other agg,125154262.837686,19265.354632718
Liquid Mesh Frontend,other agg,116137476.397229,143013.520142979
Arb Bot (7XdeQ),other agg,115949063.897191,96791.142054519
Unknown Frontend,other agg,106932285.353951,953230.473190068
Jupiter Agg,other agg,106723541.845907,998957.48256
Arb Bot (zrVF),other agg,86489883.2595859,19857.977944919
Arb Bot (5bsFr),other agg,86078903.2629334,204695.07771305
Arb Bot (CoTh2),other agg,83584191.9057242,1942.376649975
Arb Bot (Pp5Nu),other agg,79743585.5504163,144487.05736457
Arb Bot (XxXxX),other agg,69279597.0460031,173679.07303506
Arb Bot (9i7Qd),other agg,64713646.7490038,80009.851250845
Arb Bot (3Y186),other agg,49516172.9307638,132510.330549451
Arb Bot (GReEN),other agg,46381132.1630585,54110.891032602
Byreal Frontend,other agg,42954731.6785732,24487.0475575
Arb Bot (9GCBb),other agg,41883112.0186179,340598.281647607
Binance Wallet,jupiter-aggregator-v6,41690449.0595585,181820.623616584
Arb Bot (Rexhf),other agg,40636159.592177,134905.526149889
Boobs Program,other agg,33400554.7602804,13574.304635126
Arb Bot (3URuD),other agg,32617476.7534062,4741.65077449
Binance Wallet,other agg,32014579.8830636,134600.883290802
Arb Bot (SSSnR,other agg,31416805.7986427,199991.88
Swissborg Frontend,other agg,22512767.0149349,67508.908362662
Terminal Trading Bot,other agg,20406164.933292,5858.990222113
Arb Bot (King7),other agg,19887517.2656882,260764.468752614
Arb Bot (HpN),other agg,19669370.2157193,2487.597355325
Jester Program,other agg,19335645.3696311,102066.797130596
Phoenix Frontend,other agg,19215543.4665793,101551.001411115
Bitget DEX,other agg,18252581.1211265,126613.663885046
Arb Bot (BxM),other agg,17130582.0724087,20000.383198497
Unknown Frontend,jupiter-aggregator-v6,17057347.8795608,49996.325
Arb Bot (AWyH),other agg,16906143.0875906,6861.472498672
Arb Bot (8aqua),other agg,16273287.0055747,279988.632
Arb Bot (sattC),other agg,16231307.9631158,83003.650061598
GMGN Trading Bot,other agg,16093887.7698732,4701.757115316
Pump.fun Frontend,photon,14400225.3803957,42006.026388541
Wasabi Frontend,jupiter-aggregator-v6,13424680.8829426,9886.483033673
Fluxbeam Frontend,other agg,12763046.8982685,280.17654
Arb Bot (mine9),other agg,12636418.4892843,32795.89914329
Arb Bot (2A6m4),other agg,12051638.7386437,41379.911330453
Arb Bot (88aaa),other agg,10394988.9627878,92151.12249776
Arb Bot (9Zzf9),other agg,8696578.25175495,115848.318532147
Bonk Bot,other agg,8477080.19726419,9701.486830691
Binance Wallet,dflow-v4,6995338.30013242,107998.214776617
Bloom Trading Bot,other agg,6525904.17467028,20058.979407372
OnChain Labs Frontend,okx-aggregator,5751724.32073103,97776.39631673
Arb Bot (BLzDY),other agg,5544372.8628897,195691.827778213
Arb Bot (knc2o),other agg,5134119.1366649,322.092704175
Arb Bot (A8g42),other agg,4842831.44182515,58233.417903584
Ave.ai Trading Bot,other agg,4703752.95779324,54492.007273489
Unknown Frontend,okx-aggregator-v6,4477009.59910309,57778.580030442
Maestro Trading Bot,other agg,4021966.19658427,11897.6252125
Arb Bot (GMGNr),other agg,3372863.41151593,12449.031281682
Squads Wallet,jupiter-aggregator-v6,3041027.11784546,2400133.92
Arb Bot (EkRb),other agg,2061340.27618204,16285.4563083
Arb Bot (NA247),other agg,1872757.82884723,14360.741906733
Squads Wallet,other agg,1683901.72023015,25632.444911561
Unknown Frontend,drift,1235513.14196017,23519.34475896
Raydium Frontend,photon,721245.446958051,13703.977164617
Photon Frontend,photon,620335.547250854,9930.475955596
Arb Bot (3sr1A),other agg,507229.218148523,1992.975619981
Meteora Frontend,photon,443145.941673032,18453.134635123
Arb Bot (MEVi),other agg,355869.221671298,10399.355752604
Unknown Frontend,photon,318780.678368224,2035.080913536
Banana Gun Trading Bot,other agg,242214.507517434,2637.695452477
Arb Bot (Stend),other agg,196927.112183121,5192.590827455
Bitget DEX,jupiter-aggregator-v6,79320.283762467,2014.112839825
Orca Frontend,photon,58377.821602769,4120.470584326
ZeroFi Program,other agg,7640.233065542,3820.116532771
Unknown Frontend,jupiter-aggregator-v4,2409.999478522,33.433565959
Titan Exchange,drift,1210.5160253,598.602109569
Unknown Frontend,okx-aggregator,539.81744645,65.860237966
Wasabi Frontend,raydium-router,400.119703168,400.119703168
Unknown Frontend,dflow-v4,98.314507431,8.568811938
Squads Wallet,raydium-router,0.3361769664,0.1680911064
