DAY,PUBKEY,SLOTS,SOLS,SOL_MEDIAN
2026-01-23 00:00:00.000,spur5CDwBvTZszvy1ozGjRc1x2TuDWo3VF4jrq7zgvD,76,1.622502,0.017943000
2026-02-19 00:00:00.000,ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY,128,5.350089,0.020853000
2026-02-24 00:00:00.000,anatWca4MKScN6y6zo5GEoao5ABy1BLHYLz5s2DnjZA,12,0.697048,0.039121500
2026-01-10 00:00:00.000,DCKyEmMENQMtLXgbmUoHRmgP9XdJ9HsR5WxrKnSDCzKA,44,0.911175,0.012726500
2026-01-27 00:00:00.000,3WDh9HgusCujDmXCVhophLrHvoKHQd1Sd4uFHz1Awo35,120,3.903684,0.025463000
2026-02-23 00:00:00.000,49j9bnkdgVNxLwsZ9h88sPR5MYEmsUyKrrJ6ZW8ijBrb,40,1.666339,0.023458000
2026-01-28 00:00:00.000,BhNnboEZb3mKkVADMH11cYGWCqefAfmhzx5rU4eRTKGY,16,0.638331,0.037319000
2026-02-24 00:00:00.000,HrpWeJSYnQVtZe3BKxFCBrAEr8GRCmYUbQev4hoGDBs6,72,2.025305,0.019252000
2026-01-26 00:00:00.000,MBVyz9s72WSfUmbr1S8fgHjDJQkPs1Q4Wxi6A2Mees9,116,6.167788,0.037848500
2026-01-31 00:00:00.000,2D2v7sMqDuq2ekZnFhaQm4k2ErWHemZQuYf5qaVTPFmg,4,0.068069,0.018915500
2026-01-10 00:00:00.000,BfgMdL4FaNHp5zZpD7WMYG5sZUrCWQPEjXDwWS7M5q3F,176,10.202557,0.027630500
2026-01-08 00:00:00.000,YE11a5nVJtUNqsojkphYuWc7StqBzbCeFH6BjhAAUEV,68,1.145141,0.013339000
2026-01-08 00:00:00.000,74Xkp2iLXm315h69sFRiCFjmKnaWkMV8W2LgJwPRSgN5,48,1.534569,0.022233500
2026-02-12 00:00:00.000,xLabscif2DLnYg39rQThqi7A9E45L9qiysRZhmZ1ARE,20,0.159516,0.006249000
2026-02-18 00:00:00.000,SQDS9iwyWvT2mQbSZzuNKGoxuBug5jRHouF6SuMRBkA,52,1.545764,0.021324000
